c |  Solving Time         :     19.433ms
c |  Solving Time         :     19.437ms
c |  Solving Time         :     19.631ms
c |  Solving Time         :     19.810ms
c |  Solving Time         :     20.118ms
c |  Solving Time         :     20.313ms
c |  Solving Time         :     20.824ms
c |  Solving Time         :     20.831ms
c |  Solving Time         :     21.030ms
c |  Solving Time         :     21.087ms
c |  Solving Time         :     21.453ms
c |  Solving Time         :     21.479ms
c |  Solving Time         :     21.669ms
c |  Solving Time         :     21.784ms
c |  Solving Time         :     21.863ms
c |  Solving Time         :     22.313ms
c |  Solving Time         :     22.836ms
c |  Solving Time         :     24.040ms
c |  Solving Time         :     24.328ms
c |  Solving Time         :     24.549ms
c |  Solving Time         :     24.630ms
c |  Solving Time         :     24.846ms
c |  Solving Time         :     24.848ms
c |  Solving Time         :     24.997ms
c |  Solving Time         :     25.482ms
c |  Solving Time         :     26.823ms
c |  Solving Time         :     26.984ms
c |  Solving Time         :     27.039ms
c |  Solving Time         :     27.075ms
c |  Solving Time         :     27.686ms
c |  Solving Time         :     27.829ms
c |  Solving Time         :     28.762ms
c |  Solving Time         :     28.986ms
c |  Solving Time         :     29.268ms
c |  Solving Time         :     29.388ms
c |  Solving Time         :     29.404ms
c |  Solving Time         :     29.456ms
c |  Solving Time         :     29.807ms
c |  Solving Time         :     29.947ms
c |  Solving Time         :     29.953ms
c |  Solving Time         :     30.442ms
c |  Solving Time         :     31.447ms
c |  Solving Time         :     31.452ms
c |  Solving Time         :     31.780ms
c |  Solving Time         :     31.992ms
c |  Solving Time         :     32.038ms
c |  Solving Time         :     32.242ms
c |  Solving Time         :     32.311ms
c |  Solving Time         :     32.504ms
c |  Solving Time         :     32.533ms
c |  Solving Time         :     32.745ms
c |  Solving Time         :     33.571ms
c |  Solving Time         :     34.781ms
c |  Solving Time         :     35.157ms
c |  Solving Time         :     36.118ms
c |  Solving Time         :     36.814ms
c |  Solving Time         :     37.018ms
c |  Solving Time         :     37.221ms
c |  Solving Time         :     37.490ms
c |  Solving Time         :     37.648ms
c |  Solving Time         :     38.788ms
c |  Solving Time         :     39.263ms
c |  Solving Time         :     41.477ms
c |  Solving Time         :     42.188ms
c |  Solving Time         :     42.581ms
c |  Solving Time         :     43.154ms
c |  Solving Time         :     43.387ms
c |  Solving Time         :     46.588ms
c |  Solving Time         :     47.477ms
c |  Solving Time         :     47.590ms
c |  Solving Time         :     47.818ms
c |  Solving Time         :     48.177ms
c |  Solving Time         :     48.187ms
c |  Solving Time         :     48.470ms
c |  Solving Time         :     48.563ms
c |  Solving Time         :     49.546ms
c |  Solving Time         :     53.686ms
c |  Solving Time         :     54.352ms
c |  Solving Time         :     54.431ms
c |  Solving Time         :     54.441ms
c |  Solving Time         :     55.333ms
c |  Solving Time         :     55.752ms
c |  Solving Time         :     55.931ms
c |  Solving Time         :     57.181ms
c |  Solving Time         :     57.321ms
c |  Solving Time         :     57.569ms
c |  Solving Time         :     61.121ms
c |  Solving Time         :     62.057ms
c |  Solving Time         :     63.527ms
c |  Solving Time         :     65.792ms
c |  Solving Time         :     66.036ms
c |  Solving Time         :     66.118ms
c |  Solving Time         :     68.836ms
c |  Solving Time         :     72.116ms
c |  Solving Time         :     72.829ms
c |  Solving Time         :     73.025ms
c |  Solving Time         :     74.219ms
c |  Solving Time         :     75.418ms
c |  Solving Time         :     78.692ms
c |  Solving Time         :     79.065ms
c |  Solving Time         :     79.563ms
c |  Solving Time         :     84.224ms
c |  Solving Time         :     84.827ms
c |  Solving Time         :     89.107ms
c |  Solving Time         :     90.782ms
c |  Solving Time         :     91.092ms
c |  Solving Time         :     93.418ms
c |  Solving Time         :     93.626ms
c |  Solving Time         :     95.200ms
c |  Solving Time         :     96.939ms
c |  Solving Time         :     99.958ms
c |  Solving Time         :    100.167ms
c |  Solving Time         :    100.991ms
c |  Solving Time         :    102.801ms
c |  Solving Time         :    103.246ms
c |  Solving Time         :    104.570ms
c |  Solving Time         :    105.846ms
c |  Solving Time         :    107.055ms
c |  Solving Time         :    110.359ms
c |  Solving Time         :    110.593ms
c |  Solving Time         :    113.553ms
c |  Solving Time         :    114.006ms
c |  Solving Time         :    114.175ms
c |  Solving Time         :    115.200ms
c |  Solving Time         :    115.930ms
c |  Solving Time         :    117.420ms
c |  Solving Time         :    118.993ms
c |  Solving Time         :    120.136ms
c |  Solving Time         :    124.939ms
c |  Solving Time         :    130.990ms
c |  Solving Time         :    131.287ms
c |  Solving Time         :    132.397ms
c |  Solving Time         :    136.276ms
c |  Solving Time         :    139.046ms
c |  Solving Time         :    139.697ms
c |  Solving Time         :    141.609ms
c |  Solving Time         :    142.976ms
c |  Solving Time         :    144.369ms
c |  Solving Time         :    145.324ms
c |  Solving Time         :    145.787ms
c |  Solving Time         :    152.902ms
c |  Solving Time         :    153.644ms
c |  Solving Time         :    154.641ms
c |  Solving Time         :    156.168ms
c |  Solving Time         :    159.661ms
c |  Solving Time         :    160.718ms
c |  Solving Time         :    163.373ms
c |  Solving Time         :    170.021ms
c |  Solving Time         :    170.614ms
